id|symbol|name
31bfe225-ad5c-47ee-b60b-475a321ff98d|ALBO|Albireo Pharma, Inc. Common Stock
3ca0202f-01f4-41a0-bb0c-c8864e767ebd|AA|Alcoa Corporation
0f617181-38fb-4f29-9029-4e8948d383f2|ALDX|Aldeyra Therapeutics, Inc. Common Stock
76325347-e438-4483-ba55-222dc32022a8|ALEC|Alector, Inc. Common Stock
c797f82d-04e2-43b7-9c96-4610d65e5dd4|ALRS|Alerus Financial Corporation Common Stock
9014b054-605b-4d4a-b24c-5fd8f442cb84|ALEX|Alexander & Baldwin, Inc.
0b91d22e-c6d5-4d4b-a467-da65b5faa12d|ALX|Alexander's Inc.
5a7450bd-6796-4631-845e-d3facc79ff1a|ARE|Alexandria Real Estate Equities, Inc.
1855127e-54da-4909-929a-83c316ba4b89|ALXN|Alexion Pharmaceuticals, Inc. Common Stock
fc9ab435-44e7-45f5-ad53-92d3d76a2962|BABA|Alibaba Group Holding Limited American Depositary Shares, each represents eight Ordinary Shares
480c42b1-fca1-4132-81cd-073b52388e23|ALCO|Alico, Inc. Common Stock
53833666-cd3e-442c-8d59-3c4af8ce7aa4|ALGN|Align Technology, Inc. Common Stock
18657e1e-1800-4127-84cd-260ec8fdbbe6|ALHC|Alignment Healthcare, Inc. Common Stock
924a3e34-5cc8-46fe-838c-36e98ee0a108|ALGS|Aligos Therapeutics, Inc. Common Stock
c8309058-b324-4afc-af7d-b45f288c975e|ALKS|Alkermes plc Ordinary Shares
9d6d5615-2f02-4642-ae45-ceddea513778|ALLK|Allakos Inc. Common Stock
8e488c3e-8181-4e2a-a951-a0fa2d190e30|Y|Alleghany Corporation
97ec1eec-a5c8-4206-9401-e34e931d21fd|ATI|Allegheny Technologies
a86d6e92-8f99-4fa6-a153-c423c06dc999|ABTX|Allegiance Bancshares, Inc. Common Stock
5823671d-c4d2-4981-b21b-62ddcb304f5b|ALGT|Allegiant Travel Company Common Stock
2f630203-b16e-463e-95a9-9f2a585138c4|ALLE|Allegion Public Limited Company
ac4b1970-44ac-4584-a2bc-081b1afe2430|ALGM|Allegro MicroSystems, Inc. Common Stock
8892dada-942d-4261-9bc1-a1fff972f921|ALNA|Allena Pharmaceuticals, Inc. Common Stock
a75fec50-9c3a-4806-ad72-a4f27e22db28|ADS|Alliance Data Systems Corporation
a09d3642-ddd5-46b8-9783-b681346cfdd3|ARLP|Alliance Resource Partners, L.P. Common Units representing Limited Partners Interests
50b58aef-2843-4a52-8a21-60b9f23cf5da|AB|AllianceBernstein Holding, L.P.
ceec46e0-7a0d-41cf-9e65-0faf0a9e92a4|LNT|Alliant Energy Corporation Common Stock
f637532b-1173-415a-a66c-abc4ab0ed5ad|AESE|Allied Esports Entertainment, Inc. Common Stock
12a016ea-60da-4795-8926-1ed6aa9357aa|AHPI|Allied Healthcare Products, Inc. Common Stock
6daa3635-4360-4f03-9d01-09232cd92f2b|AMOT|Allied Motion Technologies, Inc.
904bb48d-f66a-4632-9a80-50b6212d9444|ALVR|AlloVir, Inc. Common Stock
eac6e562-5b04-4b6a-9abe-7b1e3c9f5008|ALLO|Allogene Therapeutics, Inc. Common Stock
fdc534d8-b38a-4e6a-a3a8-0ebaedd67fb7|ALLT|Allot Ltd. Ordinary Shares
8df729b2-2345-460d-809c-59f6c7980c17|MDRX|Allscripts Healthcare Solutions, Inc. Common Stock
d9229b92-203e-44c8-a622-fcdf13e47aa1|ALLY|Ally Financial Inc.
5d676c76-d368-455c-91a5-e349a883ac15|ALNY|Alnylam Pharmaceuticals, Inc. Common Stock
37d3a85b-8812-4e2d-9c6b-4c877a2b6e00|APT|Alpha Pro Tech, Ltd.
54d10647-e403-4657-b713-ca4d75c58629|AOSL|Alpha and Omega Semiconductor Limited Common Shares
69b15845-7c63-4586-b274-1cfdfe9df3d8|GOOGL|Alphabet Inc. Class A Common Stock
f30d734c-2806-4d0d-b145-f9fade61432b|GOOG|Alphabet Inc. Class C Capital Stock
8aa2e376-49cf-4d79-abb7-ec0b91c640df|ATEC|Alphatec Holdings, Inc. Common Stock
1c88b04e-ce9f-45a7-b0fc-9e79764d7b76|ALPN|Alpine Immune Sciences, Inc. Common Stock
99aa6bc3-7192-4cc4-b2fe-9cb4d9652a35|ALTG|Alta Equipment Group Inc.
64dd8752-2ac6-4f15-bdc3-ff89377b3981|ALTA|Altabancorp Common Stock
3a2004c6-789c-48eb-bdc7-1e0ae3fb8a27|ATHE|Alterity Therapeutics Limited American Depositary Shares
1340bf9d-0437-4db1-920c-1ad506b7128b|AYX|Alteryx, Inc.
60aec580-1a4c-41c3-bef5-ee769f0167bc|ATUS|Altice USA, Inc. Class A Common Stock
7b27498b-9e1c-4a17-b39d-aec02d02a7fb|AGC|Altimeter Growth Corp. Class A Ordinary Shares
9c377ef8-cfba-48a3-83f2-ee4b91d2fe21|ALT|Altimmune, Inc. Common Stock
54909c5f-c74f-47e8-8684-37f80bf73e9a|AAMC|Altisource Asset Mgmt Corp
4bdb3267-3fdb-4ee5-b451-2b36751dd62e|ASPS|Altisource Portfolio Solutions S.A. Common Stock
d2f8248d-9e84-41fb-b401-285dce0788b3|AIMC|Altra Industrial Motion Corp. Common Stock
4eb91cfa-4f8b-4df5-acb7-2f3434fa283f|MO|Altria Group, Inc.
47edadbb-bb3a-44cc-88e9-78f93bf5390e|AMAL|Amalgamated Financial Corp. Common Stock (DE)
f05b38d5-dc3e-496f-9aa7-3c71578efe4c|AMRN|Amarin Corporation plc
f801f835-bfe6-4a9d-a6b1-ccbb84bfd75f|AMZN|Amazon.com, Inc. Common Stock
61f5c7f3-31f9-49d8-9cec-d761806c0609|AMBC|Ambac Financial Group, Inc.
f976cf34-2854-4b40-91d7-d846ad3a3633|AMBA|Ambarella, Inc. Ordinary Shares
5f0752bb-1fa3-4ae0-bffb-ef55981dbed5|AMBO|Ambow Education Holding Ltd. American Depository Shares, each representing two Class A ordinary shar
be6c7489-e6bd-49b1-b16c-ee5c350a6a1b|DOX|Amdocs Limited Ordinary Shares
ccfa8da3-37c8-4671-b5e2-f9abae81d774|AMED|Amedisys Inc Common Stock
b700cfbc-d082-4890-ade5-99e228f45ed2|AMTB|Amerant Bancorp Inc. Class A Common Stock
978f6a07-7e4a-486b-b9cf-fa4405c8432d|AMTBB|Amerant Bancorp Inc. Class B Common Stock
efba1ae6-17bd-41b2-9eac-dee0b4e288b2|UHAL|Amerco Common Stock
98ce4784-3b9a-4a4f-88ec-f2db2f1e8961|AEE|Ameren Corporation
a2192ded-0453-47c1-9428-bc023efb35f8|AMRC|Ameresco, Inc.
874a85ef-bf6a-42cf-9ef9-b6400a0c932c|ASRV|AmeriServ Financial Inc. Common Stock
d1247b20-5ad4-4edd-9406-f15dded33539|AMX|America Movil S.A.B de C.V
43384493-2169-4e25-8a1d-5822f8bd8245|AMOV|America Movil SAB de CV
b945f3e4-c60a-43c3-b5b2-3be58beab4f1|CRMT|America's Car-Mart Inc Common Stock
41b54729-8470-4593-be38-b3a681871f81|AAL|American Airlines Group Inc. Common Stock
15cf567e-b4bf-454c-9c0f-71d8e5ae79e8|AXL|American Axle & Manufacturing Holdings, Inc.
d3ce6de3-13f1-4941-94e9-f9f54174e448|ACC|American Campus Communities, Inc.
be507550-631b-4803-b496-107adf9dd698|AEO|American Eagle Outfitters
90e9c946-6323-49a4-be69-116f04fec288|AEP|American Electric Power Company, Inc. Common Stock
1b5fc178-c2db-4a13-85d2-cdf08c750319|AEL|American Equity Investment Life Holding Company
49b90cdc-f6f5-4a7c-807a-ed172e6017af|AXP|American Express Company
b7f12b49-27b5-4d3d-8980-ae448b1db7b5|AFIN|American Finance Trust, Inc. Class A Common Stock
f3932bee-ebd2-4962-8717-6511f2125275|AFG|American Financial Group, Inc.
1ca76fea-6487-4cde-a341-07517b3286a0|AIG|American International Group, Inc.
37ea6698-289d-476a-8266-42d75f804473|AMNB|American National Bankshares, Inc. Common Stock
80aa483e-ab53-4e5b-a80f-45cdc7367200|AOUT|American Outdoor Brands, Inc. Common Stock
01c893ba-85d6-4ff8-93cd-6c6d6972465c|APEI|American Public Education, Inc. Common Stock
ca73967a-2ce1-4436-a61f-eb777e7bfdfe|ARL|American Realty Investors, Inc.
974fb40c-dd2c-4aaa-a97e-3aca8b0bca77|AREC|American Resources Corporation Class A Common Stock
fed6f0bc-cf60-401f-aa1f-8f680ab1de5d|AMRB|American River Bankshares Common Stock
326d2437-4fb8-49b1-b81f-0f375c4e872e|AMS|American Shared Hospital Services
cead49ca-6c1f-45f6-a9b1-097a8b538703|AMSWA|American Software, Inc. Class A Common Stock
864e59b3-dff5-4f49-9c25-9e25307fcf0a|AWR|American States Water Company
69930a89-3f91-401c-8771-a92ff46c9559|AMSC|American Superconductor Corporation Common Stock
a148da60-6af9-443b-a3a9-9d3e65eb91e9|AMT|American Tower Corporation
03b99498-d5d1-4334-98be-8c589f50628d|AVD|American Vanguard Corporation
b6030c42-743c-4418-a03b-9f50c0b8387b|AVCT|American Virtual Cloud Technologies, Inc. Common Stock
70d6a48c-21e2-4b31-a66a-9a993fa1509c|AWK|American Water Works Company, Inc
f861a119-870d-48bc-974d-87af3872cf14|AMWL|American Well Corporation
83584038-ebab-4b43-8659-bf93bcb48219|AMWD|American Woodmark Corporation Common Stock
764073e3-4e48-4a2c-aee2-45b0a0dfb9cc|AMP|Ameriprise Financial, Inc.
0b666f8b-ad53-4c8e-b200-a47693ab24bf|ABCB|Ameris Bancorp Common Stock
ca56f277-6345-49e3-889a-6a748a4f1c79|ABC|AmerisourceBergen Corp.
9083e8c7-4f7f-4a91-8bd5-94f9d00f1a96|ATLO|Ames National Corporation Common Stock
bc3dd878-8104-44a4-903c-ae5806d2a0e8|AMST|Amesite Inc. Common Stock
